Index number: 2
Stimuli file: deviantart_limo_ad.png
820 369 true
821 374 true
821 381 true
824 387 true
820 391 true
822 387 true
818 380 true
819 384 true
818 387 true
818 391 true
819 398 true
822 394 true
822 388 true
820 393 true
821 388 true
819 387 true
819 385 true
818 381 true
814 375 true
815 374 true
815 373 true
814 365 true
814 369 true
811 363 true
810 355 true
812 357 true
808 351 true
807 346 true
778 276 false
771 278 false
789 309 false
799 307 false
809 327 false
